features,label
"xss_payload_detected, script_tag_in_input, malicious_iframe_injection",Cross-Site Scripting (XSS)
"suspicious_email_link, email_header_anomaly, brand_impersonation",Phishing
"fake_login_page, email_header_anomaly, spear_phishing_indicators",Phishing
"mass_file_encryption, shadow_copy_deletion, unusual_file_extension, file_rename_burst, lateral_movement",Ransomware
"ping_sweep, dns_enumeration",Reconnaissance
"port_scanning, network_mapping, ping_sweep",Reconnaissance
"unusual_db_query, db_error_in_response, tautology_in_query",SQL Injection
"brand_impersonation, vishing_indicators",Phishing
"reflected_payload, event_handler_injection, html_entity_bypass",Cross-Site Scripting (XSS)
"service_degradation, http_flood, bandwidth_saturation, connection_exhaustion",Distributed Denial of Service (DDoS)
"domain_spoofing, credential_harvesting, whaling_attempt",Phishing
"shadow_copy_deletion, unusual_file_extension, file_rename_burst",Ransomware
"high_traffic_volume, udp_flood, http_flood, amplification_traffic, ntp_amplification",Distributed Denial of Service (DDoS)
"syn_flood, udp_flood, connection_exhaustion",Distributed Denial of Service (DDoS)
"lookalike_domain, spear_phishing_indicators, vishing_indicators",Phishing
"unusual_db_query, error_based_response, tautology_in_query, time_delay_response, boolean_blind_sqli",SQL Injection
"port_scanning, ping_sweep, traceroute_activity",Reconnaissance
"fake_login_page, spear_phishing_indicators, vishing_indicators",Phishing
"sql_injection_pattern, blind_sqli_timing, boolean_blind_sqli",SQL Injection
"udp_flood, icmp_flood, slow_loris_attack",Distributed Denial of Service (DDoS)
"ssl_certificate_mismatch, bgp_hijacking, evil_twin_ap",Man-in-the-Middle (MitM)
"dns_spoofing, unusual_gateway_mac, packet_interception, ssl_certificate_mismatch, evil_twin_ap",Man-in-the-Middle (MitM)
"high_traffic_volume, service_degradation, amplification_traffic, ntp_amplification",Distributed Denial of Service (DDoS)
"email_header_anomaly, brand_impersonation, whaling_attempt",Phishing
"xss_payload_detected, reflected_payload, javascript_uri_injection",Cross-Site Scripting (XSS)
"sql_injection_pattern, stacked_queries, encoded_sql_payload",SQL Injection
"amplification_traffic, connection_exhaustion, ntp_amplification",Distributed Denial of Service (DDoS)
"multiple_failed_auth, credential_stuffing, failed_ssh_attempts, failed_rdp_attempts",Brute Force Attack
"ransom_note_created, unusual_file_extension, c2_communication, process_injection, lateral_movement",Ransomware
"ransom_note_created, unusual_file_extension, process_injection",Ransomware
"mass_file_encryption, ransom_note_created",Ransomware
"script_tag_in_input, dom_manipulation, cookie_theft_attempt, reflected_payload, stored_xss_payload",Cross-Site Scripting (XSS)
"sql_injection_pattern, unusual_db_query, blind_sqli_timing, boolean_blind_sqli",SQL Injection
"ransom_note_created, shadow_copy_deletion, c2_communication",Ransomware
"script_tag_in_input, reflected_payload, event_handler_injection, malicious_iframe_injection",Cross-Site Scripting (XSS)
"high_login_attempts, account_lockout_triggered, auth_log_flooding",Brute Force Attack
"banner_grabbing, ping_sweep, dns_enumeration, whois_lookup",Reconnaissance
"service_degradation, syn_flood, connection_exhaustion, ntp_amplification",Distributed Denial of Service (DDoS)
"sql_injection_pattern, error_based_response, stacked_queries, boolean_blind_sqli",SQL Injection
"suspicious_email_link, email_header_anomaly, urgency_in_email, malicious_attachment",Phishing
"shadow_copy_deletion, unusual_file_extension, backup_deletion, registry_modification, lateral_movement",Ransomware
"high_login_attempts, credential_stuffing, auth_log_flooding",Brute Force Attack
"high_traffic_volume, slow_loris_attack, connection_exhaustion",Distributed Denial of Service (DDoS)
"service_enumeration, ping_sweep, idle_scan, version_detection, tcp_connect_scan",Reconnaissance
"service_enumeration, network_mapping, ping_sweep",Reconnaissance
"high_traffic_volume, syn_flood, connection_exhaustion",Distributed Denial of Service (DDoS)
"xss_payload_detected, dom_manipulation, reflected_payload, html_entity_bypass",Cross-Site Scripting (XSS)
"credential_harvesting, malicious_attachment, vishing_indicators",Phishing
"fake_login_page, lookalike_domain, brand_impersonation",Phishing
"unusual_db_query, encoded_sql_payload, time_delay_response",SQL Injection
"dns_enumeration, whois_lookup",Reconnaissance
"backup_deletion, data_exfiltration_before_encryption, bitcoin_address_in_note",Ransomware
"arp_spoofing, rogue_dhcp_server, packet_interception, evil_twin_ap",Man-in-the-Middle (MitM)
"ssl_stripping, certificate_anomaly, dns_spoofing, session_hijacking",Man-in-the-Middle (MitM)
"c2_communication, lateral_movement, bitcoin_address_in_note",Ransomware
"xss_payload_detected, script_tag_in_input, dom_manipulation, reflected_payload",Cross-Site Scripting (XSS)
"error_based_response, stacked_queries",SQL Injection
"brute_force_login, multiple_failed_auth, dictionary_attack, failed_rdp_attempts",Brute Force Attack
"unusual_gateway_mac, rogue_dhcp_server, evil_twin_ap, ip_spoofing",Man-in-the-Middle (MitM)
"stacked_queries, time_delay_response",SQL Injection
"udp_flood, http_flood, bandwidth_saturation, dns_amplification",Distributed Denial of Service (DDoS)
"syn_flood, udp_flood, dns_amplification",Distributed Denial of Service (DDoS)
"service_enumeration, traceroute_activity, idle_scan",Reconnaissance
"arp_spoofing, ssl_certificate_mismatch, ip_spoofing",Man-in-the-Middle (MitM)
"service_degradation, http_flood",Distributed Denial of Service (DDoS)
"stored_xss_payload, javascript_uri_injection, csp_bypass_attempt",Cross-Site Scripting (XSS)
"ransom_note_created, shadow_copy_deletion, process_injection",Ransomware
"mass_file_encryption, registry_modification, lateral_movement",Ransomware
"domain_spoofing, brand_impersonation, whaling_attempt",Phishing
"shadow_copy_deletion, registry_modification",Ransomware
"os_fingerprinting, network_mapping, tcp_connect_scan",Reconnaissance
"credential_harvesting, fake_login_page, email_header_anomaly",Phishing
"credential_harvesting, urgency_in_email, malicious_attachment",Phishing
"dns_spoofing, rogue_dhcp_server, evil_twin_ap",Man-in-the-Middle (MitM)
"suspicious_email_link, fake_login_page, email_header_anomaly",Phishing
"shadow_copy_deletion, data_exfiltration_before_encryption, bitcoin_address_in_note",Ransomware
"port_scanning, os_fingerprinting, banner_grabbing",Reconnaissance
"unusual_db_query, union_based_payload, out_of_band_sqli",SQL Injection
"network_mapping, dns_enumeration, traceroute_activity, version_detection",Reconnaissance
"arp_spoofing, certificate_anomaly, dns_spoofing",Man-in-the-Middle (MitM)
"high_traffic_volume, amplification_traffic, connection_exhaustion",Distributed Denial of Service (DDoS)
"dictionary_attack, auth_log_flooding",Brute Force Attack
"service_degradation, syn_flood, ntp_amplification",Distributed Denial of Service (DDoS)
"domain_spoofing, urgency_in_email, malicious_attachment",Phishing
"cookie_theft_attempt, malicious_iframe_injection, html_entity_bypass",Cross-Site Scripting (XSS)
"union_based_payload, tautology_in_query, time_delay_response",SQL Injection
"idle_scan, version_detection",Reconnaissance
"high_traffic_volume, icmp_flood",Distributed Denial of Service (DDoS)
"credential_harvesting, lookalike_domain, urgency_in_email, whaling_attempt",Phishing
"slow_loris_attack, bandwidth_saturation, connection_exhaustion, dns_amplification",Distributed Denial of Service (DDoS)
"script_tag_in_input, reflected_payload, stored_xss_payload, javascript_uri_injection",Cross-Site Scripting (XSS)
"os_fingerprinting, whois_lookup, idle_scan, tcp_connect_scan",Reconnaissance
"credential_stuffing, dictionary_attack",Brute Force Attack
"os_fingerprinting, service_enumeration, dns_enumeration",Reconnaissance
"mass_file_encryption, file_rename_burst, process_injection, data_exfiltration_before_encryption",Ransomware
"union_based_payload, db_error_in_response, time_delay_response",SQL Injection
"multiple_failed_auth, account_lockout_triggered, rapid_auth_requests, failed_rdp_attempts",Brute Force Attack
"domain_spoofing, urgency_in_email, vishing_indicators",Phishing
"amplification_traffic, slow_loris_attack, bandwidth_saturation, connection_exhaustion",Distributed Denial of Service (DDoS)
"suspicious_email_link, domain_spoofing, spear_phishing_indicators, vishing_indicators",Phishing
"unusual_db_query, blind_sqli_timing, out_of_band_sqli",SQL Injection
"error_based_response, blind_sqli_timing, boolean_blind_sqli",SQL Injection
"malicious_attachment, whaling_attempt, vishing_indicators",Phishing
"union_based_payload, out_of_band_sqli, db_error_in_response",SQL Injection
"brute_force_login, dictionary_attack, account_lockout_triggered",Brute Force Attack
"unusual_file_extension, file_rename_burst, backup_deletion",Ransomware
"multiple_failed_auth, password_spraying, dictionary_attack, rapid_auth_requests, failed_rdp_attempts",Brute Force Attack
"banner_grabbing, network_mapping, dns_enumeration",Reconnaissance
"multiple_failed_auth, failed_rdp_attempts, auth_log_flooding",Brute Force Attack
"udp_flood, slow_loris_attack",Distributed Denial of Service (DDoS)
"service_degradation, amplification_traffic, ntp_amplification",Distributed Denial of Service (DDoS)
"unusual_file_extension, lateral_movement, bitcoin_address_in_note",Ransomware
"mass_file_encryption, backup_deletion",Ransomware
"unusual_file_extension, lateral_movement, data_exfiltration_before_encryption",Ransomware
"sql_injection_pattern, unusual_db_query, out_of_band_sqli, db_error_in_response, tautology_in_query",SQL Injection
"suspicious_email_link, domain_spoofing, email_header_anomaly, vishing_indicators",Phishing
"port_scanning, service_enumeration, whois_lookup",Reconnaissance
"banner_grabbing, dns_enumeration",Reconnaissance
"dns_spoofing, bgp_hijacking",Man-in-the-Middle (MitM)
"service_enumeration, banner_grabbing, dns_enumeration, version_detection",Reconnaissance
"sql_injection_pattern, unusual_db_query, error_based_response",SQL Injection
"service_enumeration, ping_sweep, idle_scan, version_detection",Reconnaissance
"service_enumeration, whois_lookup, version_detection",Reconnaissance
"high_login_attempts, dictionary_attack, account_lockout_triggered",Brute Force Attack
"rogue_dhcp_server, packet_interception, ip_spoofing",Man-in-the-Middle (MitM)
"union_based_payload, stacked_queries, time_delay_response",SQL Injection
"shadow_copy_deletion, unusual_file_extension, file_rename_burst, process_injection",Ransomware
"xss_payload_detected, stored_xss_payload, malicious_iframe_injection, html_entity_bypass",Cross-Site Scripting (XSS)
"mass_file_encryption, unusual_file_extension, registry_modification",Ransomware
"ping_sweep, whois_lookup, traceroute_activity",Reconnaissance
"service_enumeration, network_mapping, idle_scan",Reconnaissance
"high_login_attempts, credential_stuffing, failed_rdp_attempts",Brute Force Attack
"dns_spoofing, packet_interception, session_hijacking, bgp_hijacking, ip_spoofing",Man-in-the-Middle (MitM)
"high_login_attempts, password_spraying, failed_rdp_attempts",Brute Force Attack
"ransom_note_created, unusual_file_extension, backup_deletion",Ransomware
"shadow_copy_deletion, process_injection, bitcoin_address_in_note",Ransomware
"service_degradation, amplification_traffic",Distributed Denial of Service (DDoS)
"script_tag_in_input, stored_xss_payload, html_entity_bypass",Cross-Site Scripting (XSS)
"arp_spoofing, dns_spoofing, packet_interception, ip_spoofing",Man-in-the-Middle (MitM)
"os_fingerprinting, network_mapping, traceroute_activity",Reconnaissance
"registry_modification, process_injection, lateral_movement",Ransomware
"rogue_dhcp_server, evil_twin_ap",Man-in-the-Middle (MitM)
"union_based_payload, stacked_queries, db_error_in_response, tautology_in_query, encoded_sql_payload",SQL Injection
"arp_spoofing, packet_interception",Man-in-the-Middle (MitM)
"high_login_attempts, failed_ssh_attempts",Brute Force Attack
"service_enumeration, network_mapping, dns_enumeration",Reconnaissance
"brute_force_login, high_login_attempts",Brute Force Attack
"sql_injection_pattern, error_based_response, out_of_band_sqli",SQL Injection
"brute_force_login, credential_stuffing, account_lockout_triggered",Brute Force Attack
"dns_spoofing, session_hijacking, bgp_hijacking",Man-in-the-Middle (MitM)
"arp_spoofing, dns_spoofing, unusual_gateway_mac, rogue_dhcp_server",Man-in-the-Middle (MitM)
"udp_flood, connection_exhaustion",Distributed Denial of Service (DDoS)
"unusual_db_query, error_based_response, stacked_queries",SQL Injection
"mass_file_encryption, unusual_file_extension, data_exfiltration_before_encryption",Ransomware
"service_enumeration, network_mapping, traceroute_activity",Reconnaissance
"ransom_note_created, c2_communication, data_exfiltration_before_encryption",Ransomware
"credential_stuffing, password_spraying, auth_log_flooding",Brute Force Attack
"service_enumeration, ping_sweep, idle_scan",Reconnaissance
"high_login_attempts, failed_rdp_attempts",Brute Force Attack
"certificate_anomaly, unusual_gateway_mac, ip_spoofing",Man-in-the-Middle (MitM)
"mass_file_encryption, shadow_copy_deletion, file_rename_burst",Ransomware
"service_degradation, icmp_flood, bandwidth_saturation",Distributed Denial of Service (DDoS)
"mass_file_encryption, registry_modification, data_exfiltration_before_encryption",Ransomware
"network_mapping, tcp_connect_scan",Reconnaissance
"ssl_stripping, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"credential_stuffing, account_lockout_triggered, auth_log_flooding",Brute Force Attack
"suspicious_email_link, fake_login_page, lookalike_domain",Phishing
"lookalike_domain, malicious_attachment",Phishing
"service_degradation, connection_exhaustion, dns_amplification",Distributed Denial of Service (DDoS)
"unusual_db_query, blind_sqli_timing",SQL Injection
"xss_payload_detected, reflected_payload, csp_bypass_attempt",Cross-Site Scripting (XSS)
"bgp_hijacking, ip_spoofing",Man-in-the-Middle (MitM)
"multiple_failed_auth, failed_ssh_attempts",Brute Force Attack
"brute_force_login, credential_stuffing, dictionary_attack, account_lockout_triggered, failed_rdp_attempts",Brute Force Attack
"multiple_failed_auth, password_spraying, failed_ssh_attempts, failed_rdp_attempts, auth_log_flooding",Brute Force Attack
"banner_grabbing, network_mapping, dns_enumeration, tcp_connect_scan",Reconnaissance
"brute_force_login, multiple_failed_auth, password_spraying, account_lockout_triggered, rapid_auth_requests",Brute Force Attack
"amplification_traffic, dns_amplification, ntp_amplification",Distributed Denial of Service (DDoS)
"port_scanning, service_enumeration, whois_lookup, traceroute_activity, tcp_connect_scan",Reconnaissance
"arp_spoofing, session_hijacking",Man-in-the-Middle (MitM)
"suspicious_email_link, domain_spoofing, credential_harvesting, fake_login_page, spear_phishing_indicators",Phishing
"unusual_file_extension, backup_deletion, data_exfiltration_before_encryption",Ransomware
"unusual_db_query, blind_sqli_timing, union_based_payload, out_of_band_sqli, db_error_in_response",SQL Injection
"mass_file_encryption, shadow_copy_deletion",Ransomware
"error_based_response, out_of_band_sqli, boolean_blind_sqli",SQL Injection
"unusual_db_query, out_of_band_sqli, tautology_in_query",SQL Injection
"dns_spoofing, rogue_dhcp_server, ip_spoofing",Man-in-the-Middle (MitM)
"spear_phishing_indicators, whaling_attempt",Phishing
"brute_force_login, multiple_failed_auth, credential_stuffing, account_lockout_triggered, failed_ssh_attempts",Brute Force Attack
"banner_grabbing, network_mapping",Reconnaissance
"dns_spoofing, rogue_dhcp_server, packet_interception",Man-in-the-Middle (MitM)
"blind_sqli_timing, db_error_in_response, encoded_sql_payload",SQL Injection
"script_tag_in_input, event_handler_injection, csp_bypass_attempt",Cross-Site Scripting (XSS)
"dns_spoofing, unusual_gateway_mac, packet_interception, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"udp_flood, dns_amplification",Distributed Denial of Service (DDoS)
"suspicious_email_link, email_header_anomaly, malicious_attachment, brand_impersonation",Phishing
"shadow_copy_deletion, unusual_file_extension, bitcoin_address_in_note",Ransomware
"script_tag_in_input, dom_manipulation",Cross-Site Scripting (XSS)
"ping_sweep, dns_enumeration, whois_lookup",Reconnaissance
"port_scanning, os_fingerprinting, service_enumeration, dns_enumeration",Reconnaissance
"slow_loris_attack, ntp_amplification",Distributed Denial of Service (DDoS)
"arp_spoofing, ssl_certificate_mismatch, bgp_hijacking",Man-in-the-Middle (MitM)
"os_fingerprinting, traceroute_activity, tcp_connect_scan",Reconnaissance
"shadow_copy_deletion, unusual_file_extension, registry_modification",Ransomware
"icmp_flood, slow_loris_attack, connection_exhaustion",Distributed Denial of Service (DDoS)
"ransom_note_created, unusual_file_extension, file_rename_burst",Ransomware
"password_spraying, dictionary_attack",Brute Force Attack
"mass_file_encryption, ransom_note_created, file_rename_burst, backup_deletion, registry_modification",Ransomware
"unusual_db_query, out_of_band_sqli, encoded_sql_payload",SQL Injection
"brute_force_login, credential_stuffing, password_spraying, failed_ssh_attempts, failed_rdp_attempts",Brute Force Attack
"shadow_copy_deletion, unusual_file_extension, backup_deletion, process_injection",Ransomware
"credential_harvesting, fake_login_page, lookalike_domain, brand_impersonation, vishing_indicators",Phishing
"dom_manipulation, reflected_payload, stored_xss_payload",Cross-Site Scripting (XSS)
"port_scanning, os_fingerprinting, idle_scan",Reconnaissance
"credential_stuffing, dictionary_attack, rapid_auth_requests",Brute Force Attack
"reflected_payload, malicious_iframe_injection, html_entity_bypass",Cross-Site Scripting (XSS)
"ssl_stripping, session_hijacking, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"file_rename_burst, process_injection",Ransomware
"dom_manipulation, html_entity_bypass",Cross-Site Scripting (XSS)
"mass_file_encryption, lateral_movement",Ransomware
"service_degradation, bandwidth_saturation, dns_amplification",Distributed Denial of Service (DDoS)
"domain_spoofing, lookalike_domain, spear_phishing_indicators",Phishing
"unusual_gateway_mac, packet_interception, session_hijacking",Man-in-the-Middle (MitM)
"union_based_payload, out_of_band_sqli, time_delay_response",SQL Injection
"ransom_note_created, unusual_file_extension, data_exfiltration_before_encryption",Ransomware
"high_traffic_volume, connection_exhaustion, ntp_amplification",Distributed Denial of Service (DDoS)
"mass_file_encryption, c2_communication, backup_deletion",Ransomware
"shadow_copy_deletion, bitcoin_address_in_note",Ransomware
"high_traffic_volume, syn_flood, udp_flood, icmp_flood, bandwidth_saturation",Distributed Denial of Service (DDoS)
"arp_spoofing, ssl_stripping, unusual_gateway_mac",Man-in-the-Middle (MitM)
"xss_payload_detected, stored_xss_payload, malicious_iframe_injection",Cross-Site Scripting (XSS)
"xss_payload_detected, dom_manipulation, stored_xss_payload, event_handler_injection, malicious_iframe_injection",Cross-Site Scripting (XSS)
"brute_force_login, multiple_failed_auth, password_spraying",Brute Force Attack
"brute_force_login, account_lockout_triggered, failed_rdp_attempts",Brute Force Attack
"brute_force_login, failed_ssh_attempts",Brute Force Attack
"union_based_payload, stacked_queries, out_of_band_sqli, tautology_in_query, encoded_sql_payload",SQL Injection
"script_tag_in_input, dom_manipulation, cookie_theft_attempt",Cross-Site Scripting (XSS)
"network_mapping, dns_enumeration, version_detection",Reconnaissance
"unusual_db_query, union_based_payload, stacked_queries",SQL Injection
"banner_grabbing, dns_enumeration, idle_scan, version_detection",Reconnaissance
"brand_impersonation, spear_phishing_indicators",Phishing
"mass_file_encryption, ransom_note_created, process_injection, bitcoin_address_in_note",Ransomware
"xss_payload_detected, cookie_theft_attempt, malicious_iframe_injection, html_entity_bypass",Cross-Site Scripting (XSS)
"db_error_in_response, time_delay_response",SQL Injection
"dom_manipulation, cookie_theft_attempt, event_handler_injection, csp_bypass_attempt",Cross-Site Scripting (XSS)
"high_traffic_volume, http_flood, slow_loris_attack",Distributed Denial of Service (DDoS)
"blind_sqli_timing, encoded_sql_payload",SQL Injection
"credential_harvesting, lookalike_domain, malicious_attachment",Phishing
"service_degradation, connection_exhaustion, dns_amplification, ntp_amplification",Distributed Denial of Service (DDoS)
"rapid_auth_requests, failed_rdp_attempts",Brute Force Attack
"high_traffic_volume, udp_flood, http_flood, connection_exhaustion",Distributed Denial of Service (DDoS)
"spear_phishing_indicators, whaling_attempt, vishing_indicators",Phishing
"suspicious_email_link, email_header_anomaly",Phishing
"password_spraying, rapid_auth_requests, failed_rdp_attempts",Brute Force Attack
"unusual_db_query, tautology_in_query, encoded_sql_payload, time_delay_response",SQL Injection
"mass_file_encryption, c2_communication, file_rename_burst",Ransomware
"unusual_gateway_mac, rogue_dhcp_server, evil_twin_ap",Man-in-the-Middle (MitM)
"stacked_queries, db_error_in_response, tautology_in_query",SQL Injection
"port_scanning, dns_enumeration, idle_scan",Reconnaissance
"ssl_stripping, dns_spoofing, bgp_hijacking",Man-in-the-Middle (MitM)
"arp_spoofing, ssl_stripping, rogue_dhcp_server",Man-in-the-Middle (MitM)
"suspicious_email_link, domain_spoofing, vishing_indicators",Phishing
"credential_stuffing, rapid_auth_requests, failed_ssh_attempts",Brute Force Attack
"unusual_db_query, tautology_in_query, time_delay_response",SQL Injection
"syn_flood, udp_flood, bandwidth_saturation, connection_exhaustion, dns_amplification",Distributed Denial of Service (DDoS)
"error_based_response, stacked_queries, tautology_in_query",SQL Injection
"ssl_stripping, certificate_anomaly",Man-in-the-Middle (MitM)
"os_fingerprinting, service_enumeration, banner_grabbing, tcp_connect_scan",Reconnaissance
"c2_communication, backup_deletion, registry_modification",Ransomware
"syn_flood, http_flood, dns_amplification",Distributed Denial of Service (DDoS)
"cookie_theft_attempt, event_handler_injection, csp_bypass_attempt",Cross-Site Scripting (XSS)
"arp_spoofing, unusual_gateway_mac, rogue_dhcp_server",Man-in-the-Middle (MitM)
"domain_spoofing, urgency_in_email, whaling_attempt",Phishing
"multiple_failed_auth, credential_stuffing, dictionary_attack",Brute Force Attack
"account_lockout_triggered, failed_ssh_attempts",Brute Force Attack
"dns_spoofing, packet_interception, session_hijacking",Man-in-the-Middle (MitM)
"certificate_anomaly, packet_interception, evil_twin_ap",Man-in-the-Middle (MitM)
"port_scanning, os_fingerprinting, dns_enumeration",Reconnaissance
"http_flood, amplification_traffic, icmp_flood",Distributed Denial of Service (DDoS)
"file_rename_burst, lateral_movement, data_exfiltration_before_encryption",Ransomware
"c2_communication, process_injection, lateral_movement",Ransomware
"whois_lookup, traceroute_activity",Reconnaissance
"xss_payload_detected, dom_manipulation, reflected_payload",Cross-Site Scripting (XSS)
"rapid_auth_requests, failed_ssh_attempts, failed_rdp_attempts",Brute Force Attack
"multiple_failed_auth, dictionary_attack, auth_log_flooding",Brute Force Attack
"high_traffic_volume, syn_flood, udp_flood, http_flood, slow_loris_attack",Distributed Denial of Service (DDoS)
"port_scanning, os_fingerprinting, banner_grabbing, traceroute_activity",Reconnaissance
"suspicious_email_link, credential_harvesting, fake_login_page, email_header_anomaly, spear_phishing_indicators",Phishing
"arp_spoofing, dns_spoofing",Man-in-the-Middle (MitM)
"mass_file_encryption, process_injection",Ransomware
"domain_spoofing, email_header_anomaly, lookalike_domain, whaling_attempt",Phishing
"process_injection, lateral_movement, data_exfiltration_before_encryption",Ransomware
"certificate_anomaly, dns_spoofing, packet_interception",Man-in-the-Middle (MitM)
"service_degradation, udp_flood, http_flood",Distributed Denial of Service (DDoS)
"dom_manipulation, cookie_theft_attempt",Cross-Site Scripting (XSS)
"ransom_note_created, shadow_copy_deletion, lateral_movement, bitcoin_address_in_note",Ransomware
"brute_force_login, credential_stuffing, failed_rdp_attempts",Brute Force Attack
"credential_harvesting, spear_phishing_indicators, vishing_indicators",Phishing
"domain_spoofing, whaling_attempt",Phishing
"ssl_stripping, rogue_dhcp_server, ssl_certificate_mismatch, evil_twin_ap",Man-in-the-Middle (MitM)
"ransom_note_created, data_exfiltration_before_encryption, bitcoin_address_in_note",Ransomware
"unusual_gateway_mac, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"certificate_anomaly, dns_spoofing, session_hijacking, evil_twin_ap",Man-in-the-Middle (MitM)
"certificate_anomaly, unusual_gateway_mac",Man-in-the-Middle (MitM)
"ransom_note_created, registry_modification",Ransomware
"port_scanning, version_detection, tcp_connect_scan",Reconnaissance
"high_traffic_volume, syn_flood",Distributed Denial of Service (DDoS)
"union_based_payload, stacked_queries",SQL Injection
"dns_spoofing, rogue_dhcp_server, bgp_hijacking, evil_twin_ap",Man-in-the-Middle (MitM)
"high_traffic_volume, service_degradation, http_flood, icmp_flood, slow_loris_attack",Distributed Denial of Service (DDoS)
"service_enumeration, network_mapping, idle_scan, tcp_connect_scan",Reconnaissance
"certificate_anomaly, dns_spoofing, session_hijacking, bgp_hijacking, ip_spoofing",Man-in-the-Middle (MitM)
"network_mapping, ping_sweep, idle_scan",Reconnaissance
"dns_spoofing, ip_spoofing",Man-in-the-Middle (MitM)
"blind_sqli_timing, stacked_queries, out_of_band_sqli, encoded_sql_payload",SQL Injection
"port_scanning, whois_lookup, traceroute_activity",Reconnaissance
"fake_login_page, lookalike_domain, vishing_indicators",Phishing
"banner_grabbing, dns_enumeration, version_detection",Reconnaissance
"high_login_attempts, credential_stuffing, rapid_auth_requests, failed_ssh_attempts, auth_log_flooding",Brute Force Attack
"ssl_stripping, packet_interception, evil_twin_ap",Man-in-the-Middle (MitM)
"blind_sqli_timing, union_based_payload",SQL Injection
"xss_payload_detected, dom_manipulation, malicious_iframe_injection",Cross-Site Scripting (XSS)
"unusual_db_query, error_based_response, union_based_payload, stacked_queries",SQL Injection
"ssl_stripping, unusual_gateway_mac, packet_interception, session_hijacking",Man-in-the-Middle (MitM)
"malicious_attachment, brand_impersonation, whaling_attempt",Phishing
"xss_payload_detected, script_tag_in_input, event_handler_injection, javascript_uri_injection",Cross-Site Scripting (XSS)
"script_tag_in_input, stored_xss_payload",Cross-Site Scripting (XSS)
"high_traffic_volume, service_degradation, http_flood, amplification_traffic, ntp_amplification",Distributed Denial of Service (DDoS)
"arp_spoofing, ssl_stripping, bgp_hijacking",Man-in-the-Middle (MitM)
